"Team","Location","Stadium","Capacity"
"A.F.C. Leopards","Nairobi","Nyayo National Stadium","{{Nts|30,000}}"
"Bandari","Mombasa","Mombasa Municipal Stadium","{{Nts|10,000}}"
"Chemelil Sugar","Chemelil","Chemelil Sports Complex","{{Nts|5,000}}"
"Congo JMJ United","Mombasa","Mombasa Municipal Stadium","{{Nts|10,000}}"
"Gor Mahia","Nairobi","Nairobi City Stadium","{{Nts|15,000}}"
"Karuturi Sports","Naivasha","Naivasha Stadium","{{Nts|5,000}}"
"KCB","Nairobi","Nairobi City Stadium","{{Nts|15,000}}"
"Mathare United","Nairobi","Kasarani Stadium","{{Nts|60,000}}"
"Nairobi City Stars","Nairobi","Hope Centre","{{Nts|5,000}}"
"Rangers","Nairobi","Nyayo National Stadium","{{Nts|30,000}}"
"Sofapaka","Nairobi","Nyayo National Stadium","{{Nts|30,000}}"
"Sony Sugar","Awendo","Green Stadium","{{Nts|5,000}}"
"Thika United","Thika","Thika Municipal Stadium","{{Nts|5,000}}"
"Tusker","Nairobi","Kasarani Stadium","{{Nts|60,000}}"
"Ulinzi Stars","Nakuru","Afraha Stadium","{{Nts|8,200}}"
"Western Stima","Kakamega","Bukhungu Stadium","{{Nts|5,000}}"
