"Team","Location","Venue","Capacity"
"Arka Gdynia","Gdynia","Stadion Miejski","15,139"
"Cracovia","Kraków","Stadion Cracovii","15,016"
"Górnik Zabrze","Zabrze","Stadion im. Ernesta Pohla","24,413{{ref|ns2|2}}"
"Jagiellonia Białystok","Białystok","Stadion Miejski","22,432"
"Korona Kielce","Kielce","Kolporter Arena","15,550"
"Lech Poznań","Poznań","Stadion Miejski","43,269"
"Lechia Gdańsk","Gdańsk","Stadion Energa Gdańsk","43,615"
"Legia Warsaw","Warsaw","Stadion im. Marszałka Józefa Piłsudskiego","31,800"
"Miedź Legnica","Legnica","Stadion im. Orła Białego","6,244"
"Piast Gliwice","Gliwice","Stadion Miejski","10,037"
"Pogoń Szczecin","Szczecin","Stadion im. Floriana Krygiera","18,027"
"Śląsk Wrocław","Wrocław","Stadion Miejski","42,771"
"Wisła Kraków","Kraków","Stadion im. Henryka Reymana","33,326"
"Wisła Płock","Płock","Stadion im. Kazimierza Górskiego","12,800"
"Zagłębie Lubin","Lubin","Stadion KGHM Zagłębia","16,068"
"Zagłębie Sosnowiec","Sosnowiec","Stadion Ludowy","7,500 (4,900 seats)"
