"1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records","1964–65 NBA records"
"Team","BAL","BOS","CIN","DET","LAL","NYK","PHI","SFW","STL"
"Baltimore","—","3–7","6–4","6–4","4–6","2–8","4–6","7–3","5–5"
"Boston","7–3","—","8–2","10–0","7–3","7–3","5–5","9–1","9–1"
"Cincinnati","4–6","2–8","—","6–4","6–4","8–2","6–4","8–2","8–2"
"Detroit","4–6","0–10","4–6","—","3–7","5–5","4–6","8–2","3–7"
"Los Angeles","6–4","3–7","4–6","7–3","—","10–0","7–3","8–2","4–6"
"New York","8–2","3–7","2–8","5–5","0–10","—","5–5","7–3","1–9"
"Philadelphia","6–4","5–5","4–6","6–4","3–7","5–5","—","6–4","5–5"
"San Francisco","3–7","1–9","2–8","2–8","2–8","3–7","4–6","—","0–10"
"St. Louis","5–5","1–9","2–8","7–3","6–4","9–1","5–5","10–0","—"
