"1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records","1958-59 NBA Records"
"Team","BOS","CIN","DET","MIN","NYK","PHI","STL","SYR"
"Boston","—","8–1","8–1","9–0","7–5","9–3","4–5","7–5"
"Cincinnati","1–8","—","3–9","6–6","3–6","2–7","1–11","3–6"
"Detroit","1–8","9–3","—","4–8","3–6","5–4","4–8","2–7"
"Minneapolis","0–9","6–6","8–4","—","4–5","6–3","4–8","5–4"
"New York","5–7","6–3","6–3","5–4","—","5–7","4–5","9–3"
"Philadelphia","3–9","7–2","4–5","3–6","7–5","—","4–5","4–8"
"St. Louis","5–4","11–1","8–4","8–4","5–4","5–4","—","7–2"
"Syracuse","5–7","6–3","7–2","4–5","3–9","8–4","2–7","—"
