"Club performance","Club performance","Club performance","League","League","Cup","Cup","League Cup","League Cup","Continental","Continental","Total","Total"
"Club","Season","Division","Apps","Goals","Apps","Goals","Apps","Goals","Apps","Goals","Apps","Goals"
"Aston Villa","1989–90","First Division","2","0","0","0","0","0","0","0","2","0"
"Aston Villa","1990–91","First Division","18","2","2","0","1","0","0","0","21","2"
"Aston Villa","1991–92","First Division","32","11","5","5","2","0","0","0","39","16"
"Aston Villa","1992–93","Premier League","27","6","4","1","4","0","0","0","35","7"
"Aston Villa","1993–94","Premier League","12","2","2","1","0","0","0","0","14","3"
"Aston Villa","1994–95","Premier League","37","6","2","1","4","1","0","0","43","8"
"Aston Villa","1995–96","Premier League","35","17","5","2","8","6","0","0","48","25"
"Aston Villa","1996–97","Premier League","37","17","2","2","2","1","0","0","41","20"
"Aston Villa","1997–98","Premier League","30","12","2","2","1","0","7","2","40","16"
"Aston Villa","1998–99","Premier League","1","0","0","0","0","0","0","0","1","0"
"Aston Villa","Total","Total","231","73","24","14","22","8","7","2","284","97"
"Manchester United","1998–99","Premier League","32","18","8","3","0","0","11","8","51","29"
"Manchester United","1999–2000","Premier League","32","20","–","–","0","0","15","4","47","24"
"Manchester United","2000–01","Premier League","22","9","2","0","2","2","11","1","37","12"
"Manchester United","2001–02","Premier League","8","1","1","0","1","0","3","0","12","1"
"Manchester United","Total","Total","92","48","11","3","3","2","40","13","147","66"
"Blackburn Rovers","2002–03","Premier League","33","8","3","3","4","2","3","0","43","13"
"Blackburn Rovers","2003–04","Premier League","23","4","1","0","1","2","2","0","27","6"
"Blackburn Rovers","2004–05","Premier League","4","0","0","0","0","0","0","0","4","0"
"Blackburn Rovers","Total","Total","60","12","4","3","5","4","5","0","74","19"
"Birmingham City","2004–05","Premier League","13","2","1","0","2","0","0","0","16","2"
"Sydney","2005–06","A-League","21","7","–","–","3","1","2{{efn|Includes 2 appearances and 1 goal in [[FIFA Club World Cup]]}}","1","26","9"
"Sydney","2006–07","A-League","1","0","–","–","0","0","–","–","1","0"
"Sydney","Total","Total","22","7","–","–","3","1","2","1","27","9"
"Sunderland","2006–07","Championship","32","5","1","0","0","0","0","0","33","5"
"Sunderland","2007–08","Premier League","20","1","0","0","0","0","0","0","20","1"
"Sunderland","2008–09","Premier League","7","0","1","0","0","0","0","0","8","0"
"Sunderland","Total","Total","59","6","3","0","1","0","0","0","63","6"
"Career total","Career total","Career total","478","148","41","20","32","14","52","15","581","197"
