"0.0","Market Cap (intraday) 5","22.11B"
"1.0","Enterprise Value 3","39B"
"2.0","Trailing P/E ",""
"3.0","Forward P/E 1","8.70"
"4.0","PEG Ratio (5 yr expected) 1","1.97"
"5.0","Price/Sales (ttm)","2.55"
"6.0","Price/Book (mrq)","2.40"
"7.0","Enterprise Value/Revenue 3","4.50"
"8.0","Enterprise Value/EBITDA 6","13.24"
"","0","1"
"0.0","Fiscal Year Ends ","Dec 31, 2017"
"1.0","Most Recent Quarter (mrq)","Jun 30, 2018"
"","0","1"
"0.0","Profit Margin ","-8.28%"
"1.0","Operating Margin (ttm)","25.20%"
"","0","1"
"0.0","Return on Assets (ttm)","5.50%"
"1.0","Return on Equity (ttm)","-8.44%"
"","0","1"
"0.0","Revenue (ttm)","8.67B"
"1.0","Revenue Per Share (ttm)","15.96"
"2.0","Quarterly Revenue Growth (yoy)","63.00%"
"3.0","Gross Profit (ttm)","4.25B"
"4.0","EBITDA ","2.94B"
"5.0","Net Income Avi to Common (ttm)","-633M"
"6.0","Diluted EPS (ttm)","-1.26"
"7.0","Quarterly Earnings Growth (yoy)","-42.20%"
"","0","1"
"0.0","Total Cash (mrq)","429M"
"1.0","Total Cash Per Share (mrq)","0.67"
"2.0","Total Debt (mrq)","18.33B"
"3.0","Total Debt/Equity (mrq)","182.63"
"4.0","Current Ratio (mrq)","1.45"
"5.0","Book Value Per Share (mrq)","12.42"
"","0","1"
"0.0","Operating Cash Flow (ttm)","1.9B"
"1.0","Levered Free Cash Flow (ttm)","3.7B"
"","0","1"
"0.0","Beta (3Y Monthly) ","0.70"
"1.0","52-Week Change 3","86.40%"
"2.0","S&P500 52-Week Change 3","6.61%"
"3.0","52 Week High 3","31.39"
"4.0","52 Week Low 3","14.99"
"5.0","50-Day Moving Average 3","29.42"
"6.0","200-Day Moving Average 3","25.55"
"","0","1"
"0.0","Avg Vol (3 month) 3","2.46M"
"1.0","Avg Vol (10 day) 3","2.61M"
"2.0","Shares Outstanding 5","358.85M"
"3.0","Float ","449.03M"
"4.0","% Held by Insiders 1","4.38%"
"5.0","% Held by Institutions 1","84.32%"
"6.0","Shares Short (Oct 15, 2018) 4","6.63M"
"7.0","Short Ratio (Oct 15, 2018) 4","2.45"
"8.0","Short % of Float (Oct 15, 2018) 4","7.54%"
"9.0","Short % of Shares Outstanding (Oct 15, 2018) 4","1.27%"
"10.0","Shares Short (prior month Sep 14, 2018) 4","6.17M"
"","0","1"
"0.0","Forward Annual Dividend Rate 4",""
"1.0","Forward Annual Dividend Yield 4",""
"2.0","Trailing Annual Dividend Rate 3",""
"3.0","Trailing Annual Dividend Yield 3",""
"4.0","5 Year Average Dividend Yield 4",""
"5.0","Payout Ratio 4","0.00%"
"6.0","Dividend Date 3",""
"7.0","Ex-Dividend Date 4",""
"8.0","Last Split Factor (new per old) 2","2/1"
"9.0","Last Split Date 3","Aug 7, 2014"
