"50","95"
"93","95"
"101","95"
"187","95"
"183","97"
"60","114"
"85","114"
"93","114"
"101","114"
"106","114"
"118","114"
"146","114"
"187","114"
"200","114"
"68","114"
"258","114"
"87","115"
"50","116"
"209","18"
"85","164"
"67","20"
"72","39"
"87","42"
"118","43"
"195","180"
"19","181"
"278","181"
"247","182"
"269","184"
"50","187"
"262","189"
"105","191"
"105","191"
"101","192"
"85","194"
"201","195"
"118","196"
"209","196"
"262","196"
"258","196"
"139","197"
"19","198"
"19","199"
"19","200"
"72","201"
"19","202"
"87","203"
"209","204"
"136","204"
"136","205"
"47","206"
"195","207"
"19","208"
"72","208"
"101","208"
"118","208"
"189","208"
"183","208"
"258","208"
"136","209"
"87","210"
"200","211"
"105","212"
"201","212"
"19","214"
"26","214"
"105","214"
"39","214"
"236","214"
"155","214"
"87","216"
"37","217"
"72","217"
"105","217"
"118","217"
"154","217"
"189","217"
"262","217"
"299","218"
"87","218"
"72","219"
"288","220"
"279","220"
"278","220"
"105","221"
"201","221"
"87","222"
"87","223"
"19","227"
"269","228"
"72","229"
"276","229"
"24","230"
"249","230"
"118","242"
"136","243"
"32","244"
"246","245"
"87","246"
"118","247"
"87","248"
"38","249"
"118","249"
"209","249"
"262","249"
"258","249"
"276","249"
"37","250"
"85","250"
"82","250"
"118","250"
"189","250"
"222","250"
"262","250"
"274","250"
"105","255"
"72","257"
"105","258"
"101","259"
"72","260"
"85","260"
"105","260"
"118","260"
"189","260"
"262","260"
"258","260"
"136","260"
"183","260"
"87","261"
"105","262"
"72","263"
"276","264"
"282","264"
"277","264"
"32","265"
"61","265"
"40","265"
"54","265"
"87","271"
"209","272"
"87","273"
"258","274"
"19","276"
"47","276"
"106","276"
"105","276"
"183","276"
"195","276"
"269","276"
"19","277"
"47","277"
"106","277"
"105","277"
"183","277"
"198","277"
"201","277"
"269","277"
"278","278"
"279","278"
"118","279"
"189","280"
"262","280"
"118","281"
"39","282"
"155","283"
"67","284"
"258","285"
"105","286"
"37","287"
"72","287"
"85","287"
"139","287"
"189","287"
"262","287"
"258","287"
"37","288"
"72","288"
"85","288"
"139","288"
"189","288"
"262","288"
"258","288"
"278","289"
"72","290"
"105","291"
"105","292"
"105","293"
"87","1"
"61","2"
"60","2"
"72","2"
"118","2"
"135","2"
"136","2"
"189","2"
"209","2"
"262","2"
"258","2"
"274","2"
"82","3"
"118","3"
"189","3"
"222","3"
"262","4"
"105","5"
"87","6"
"72","7"
"139","7"
"136","7"
"209","7"
"222","7"
"87","8"
"241","9"
"278","10"
"105","11"
"72","12"
"258","13"
"118","14"
"87","15"
"118","16"
"37","17"
"26","17"
"60","17"
"54","17"
"93","17"
"183","17"
"209","17"
"258","17"
"209","18"
"50","19"
"67","20"
"72","21"
"72","22"
"85","22"
"189","22"
"183","22"
"183","23"
"87","24"
"72","25"
"3","27"
"19","27"
"27","27"
"61","27"
"40","27"
"50","27"
"66","27"
"93","27"
"106","27"
"105","27"
"118","27"
"39","27"
"135","27"
"136","27"
"188","27"
"187","27"
"183","27"
"200","27"
"201","27"
"249","27"
"262","27"
"234","27"
"72","28"
"87","29"
"236","30"
"72","31"
"19","33"
"37","33"
"41","33"
"243","33"
"67","33"
"72","33"
"261","33"
"85","33"
"88","33"
"93","33"
"96","33"
"108","33"
"105","33"
"112","33"
"114","33"
"118","33"
"123","33"
"128","33"
"132","33"
"139","33"
"136","33"
"154","33"
"188","33"
"189","33"
"184","33"
"183","33"
"195","33"
"209","33"
"225","33"
"222","33"
"247","33"
"262","33"
"258","33"
"263","33"
"269","33"
"232","33"
"274","33"
"248","33"
"82","34"
"222","34"
"209","35"
"269","36"
"118","37"
"118","38"
"72","39"
"19","40"
"19","41"
"87","42"
"118","43"
"37","44"
"24","44"
"60","44"
"40","44"
"72","44"
"85","44"
"82","44"
"135","44"
"139","44"
"188","44"
"189","44"
"209","44"
"225","44"
"222","44"
"249","44"
"262","44"
"105","45"
"200","46"
"189","47"
"262","47"
"189","48"
"66","49"
"258","49"
"72","50"
"118","50"
"136","50"
"7","51"
"37","51"
"38","51"
"24","51"
"61","51"
"72","51"
"85","51"
"118","51"
"135","51"
"136","51"
"154","51"
"189","51"
"209","51"
"262","51"
"258","51"
"232","51"
"61","52"
"19","53"
"67","53"
"230","55"
"87","56"
"19","57"
"105","57"
"118","57"
"155","57"
"183","57"
"262","57"
"258","57"
"274","57"
"275","57"
"19","58"
"106","58"
"155","58"
"39","59"
"201","59"
"230","59"
"274","59"
"200","60"
"106","61"
"106","63"
"200","64"
"136","67"
"195","67"
"136","68"
"274","68"
"19","69"
"274","70"
"72","71"
"189","72"
"87","73"
"136","74"
"274","74"
"275","74"
"136","75"
"72","76"
"87","79"
"201","80"
"105","81"
"201","82"
"47","83"
"106","83"
"201","83"
"247","83"
"269","83"
"269","84"
"87","85"
"19","89"
"105","90"
"1","92"
"19","92"
"72","92"
"105","92"
"153","92"
"183","92"
"195","92"
"266","92"
