"0.0","Market Cap (intraday) 5","40.92B"
"1.0","Enterprise Value 3","39.1B"
"2.0","Trailing P/E ","28.54"
"3.0","Forward P/E 1","13.91"
"4.0","PEG Ratio (5 yr expected) 1","1.16"
"5.0","Price/Sales (ttm)","2.64"
"6.0","Price/Book (mrq)","3.84"
"7.0","Enterprise Value/Revenue 3","2.52"
"8.0","Enterprise Value/EBITDA 6","12.21"
"","0","1"
"0.0","Fiscal Year Ends ","Dec 31, 2017"
"1.0","Most Recent Quarter (mrq)","Jun 30, 2018"
"","0","1"
"0.0","Profit Margin ","9.37%"
"1.0","Operating Margin (ttm)","17.58%"
"","0","1"
"0.0","Return on Assets (ttm)","11.86%"
"1.0","Return on Equity (ttm)","13.75%"
"","0","1"
"0.0","Revenue (ttm)","15.51B"
"1.0","Revenue Per Share (ttm)","26.40"
"2.0","Quarterly Revenue Growth (yoy)","9.20%"
"3.0","Gross Profit (ttm)","5.66B"
"4.0","EBITDA ","3.2B"
"5.0","Net Income Avi to Common (ttm)","1.45B"
"6.0","Diluted EPS (ttm)","2.47"
"7.0","Quarterly Earnings Growth (yoy)","-3.00%"
"","0","1"
"0.0","Total Cash (mrq)","4.25B"
"1.0","Total Cash Per Share (mrq)","7.32"
"2.0","Total Debt (mrq)","749M"
"3.0","Total Debt/Equity (mrq)","7.03"
"4.0","Current Ratio (mrq)","3.27"
"5.0","Book Value Per Share (mrq)","18.36"
"","0","1"
"0.0","Operating Cash Flow (ttm)","2.64B"
"1.0","Levered Free Cash Flow (ttm)","1.99B"
"","0","1"
"0.0","Beta (3Y Monthly) ","0.81"
"1.0","52-Week Change 3","-5.34%"
"2.0","S&P500 52-Week Change 3","5.16%"
"3.0","52 Week High 3","85.10"
"4.0","52 Week Low 3","69.32"
"5.0","50-Day Moving Average 3","74.85"
"6.0","200-Day Moving Average 3","77.66"
"","0","1"
"0.0","Avg Vol (3 month) 3","3.29M"
"1.0","Avg Vol (10 day) 3","3.45M"
"2.0","Shares Outstanding 5","580.23M"
"3.0","Float ","577.27M"
"4.0","% Held by Insiders 1","0.28%"
"5.0","% Held by Institutions 1","91.84%"
"6.0","Shares Short (Oct 15, 2018) 4","6.15M"
"7.0","Short Ratio (Oct 15, 2018) 4","2.03"
"8.0","Short % of Float (Oct 15, 2018) 4","1.05%"
"9.0","Short % of Shares Outstanding (Oct 15, 2018) 4","1.06%"
"10.0","Shares Short (prior month Sep 14, 2018) 4","6.86M"
"","0","1"
"0.0","Forward Annual Dividend Rate 4","0.8"
"1.0","Forward Annual Dividend Yield 4","1.14%"
"2.0","Trailing Annual Dividend Rate 3","0.70"
"3.0","Trailing Annual Dividend Yield 3","0.98%"
"4.0","5 Year Average Dividend Yield 4",""
"5.0","Payout Ratio 4","28.23%"
"6.0","Dividend Date 3","Aug 31, 2018"
"7.0","Ex-Dividend Date 4","Aug 21, 2018"
"8.0","Last Split Factor (new per old) 2","2/1"
"9.0","Last Split Date 3","Mar 10, 2014"
