"0","22018","201939","21801215","APR 09, 2019","GSW @ NOP","W","9","2","4","0.5","1","2","0.5","0","0","0.0","0","1","1","1","0","0","2","0","5","1","1"
"1","22018","201939","21801205","APR 07, 2019","GSW vs. LAC","W","30","11","20","0.55","3","10","0.3","2","2","1.0","0","5","5","4","1","1","0","3","27","35","1"
"2","22018","201939","21801191","APR 05, 2019","GSW vs. CLE","W","36","12","21","0.571","9","12","0.75","7","7","1.0","1","5","6","7","0","1","4","1","40","5","1"
"3","22018","201939","21801179","APR 04, 2019","GSW @ LAL","W","29","3","14","0.214","1","9","0.111","0","0","0.0","1","9","10","7","1","0","2","1","7","32","1"
"4","22018","201939","21801164","APR 02, 2019","GSW vs. DEN","W","30","6","11","0.545","5","10","0.5","0","0","0.0","0","4","4","5","3","0","4","4","17","25","1"
"5","22018","201939","21801150","MAR 31, 2019","GSW vs. CHA","W","27","8","14","0.571","5","8","0.625","4","4","1.0","0","5","5","6","2","1","1","0","25","37","1"
"6","22018","201939","21801132","MAR 29, 2019","GSW @ MIN","L","42","13","25","0.52","11","19","0.579","0","0","0.0","0","3","3","5","2","0","2","2","37","6","1"
"7","22018","201939","21801118","MAR 27, 2019","GSW @ MEM","W","33","7","20","0.35","6","12","0.5","8","9","0.889","0","10","10","7","1","1","1","3","28","17","1"
"8","22018","201939","21801101","MAR 24, 2019","GSW vs. DET","W","35","9","19","0.474","5","10","0.5","3","3","1.0","2","7","9","3","1","0","4","2","26","14","1"
"9","22018","201939","21801079","MAR 21, 2019","GSW vs. IND","W","29","5","15","0.333","5","12","0.417","0","0","0.0","1","3","4","7","1","0","3","3","15","24","1"
"10","22018","201939","21801062","MAR 19, 2019","GSW @ MIN","W","33","12","21","0.571","8","14","0.571","4","5","0.8","1","2","3","5","2","0","2","1","36","15","1"
"11","22018","201939","21801055","MAR 18, 2019","GSW @ SAS","L","37","9","25","0.36","6","18","0.333","1","1","1.0","1","6","7","8","3","1","2","3","25","3","1"
"12","22018","201939","21801038","MAR 16, 2019","GSW @ OKC","W","33","10","23","0.435","5","12","0.417","8","10","0.8","1","6","7","3","2","0","4","1","33","19","1"
"13","22018","201939","21801018","MAR 13, 2019","GSW @ HOU","W","35","8","20","0.4","3","9","0.333","5","5","1.0","2","2","4","5","2","0","1","2","24","-3","1"
"14","22018","201939","21801000","MAR 10, 2019","GSW vs. PHX","L","35","6","20","0.3","4","15","0.267","2","2","1.0","0","7","7","8","3","1","3","4","18","7","1"
"15","22018","201939","21800984","MAR 08, 2019","GSW vs. DEN","W","34","6","16","0.375","4","10","0.4","1","2","0.5","0","7","7","4","0","0","7","4","17","20","1"
"16","22018","201939","21800964","MAR 05, 2019","GSW vs. BOS","L","31","8","16","0.5","4","10","0.4","3","3","1.0","0","3","3","4","1","0","4","3","23","-21","1"
"17","22018","201939","21800938","MAR 02, 2019","GSW @ PHI","W","36","10","23","0.435","5","15","0.333","3","3","1.0","1","3","4","2","4","0","2","4","28","2","1"
"18","22018","201939","21800923","FEB 28, 2019","GSW @ ORL","L","37","12","33","0.364","5","17","0.294","4","4","1.0","1","7","8","6","0","0","3","1","33","1","1"
"19","22018","201939","21800915","FEB 27, 2019","GSW @ MIA","L","34","9","20","0.45","4","14","0.286","2","3","0.667","1","5","6","4","0","0","3","1","24","5","1"
"20","22018","201939","21800897","FEB 25, 2019","GSW @ CHA","W","35","5","18","0.278","4","14","0.286","2","3","0.667","0","5","5","6","4","0","4","1","16","-4","1"
"21","22018","201939","21800892","FEB 23, 2019","GSW vs. HOU","L","36","9","18","0.5","5","11","0.455","2","2","1.0","0","9","9","7","1","1","3","3","25","-1","1"
"22","22018","201939","21800871","FEB 21, 2019","GSW vs. SAC","W","36","12","23","0.522","10","16","0.625","2","2","1.0","0","6","6","7","2","0","3","1","36","6","1"
"23","22018","201939","21800862","FEB 13, 2019","GSW @ POR","L","33","10","24","0.417","5","14","0.357","7","7","1.0","1","6","7","2","0","0","1","2","32","-10","1"
"24","22018","201939","21800852","FEB 12, 2019","GSW vs. UTA","W","36","8","19","0.421","5","14","0.357","3","3","1.0","0","5","5","4","4","2","2","3","24","5","1"
"25","22018","201939","21800838","FEB 10, 2019","GSW vs. MIA","W","36","9","18","0.5","5","10","0.5","2","2","1.0","1","3","4","2","2","0","2","2","25","-9","1"
"26","22018","201939","21800822","FEB 08, 2019","GSW @ PHX","W","36","6","17","0.353","3","11","0.273","5","6","0.833","0","7","7","7","1","1","2","5","20","13","1"
"27","22018","201939","21800810","FEB 06, 2019","GSW vs. SAS","W","29","7","12","0.583","3","5","0.6","2","3","0.667","1","4","5","7","2","1","3","2","19","26","1"
"28","22018","201939","21800782","FEB 02, 2019","GSW vs. LAL","W","33","5","15","0.333","2","9","0.222","2","3","0.667","0","4","4","2","0","0","2","2","14","13","1"
"29","22018","201939","21800768","JAN 31, 2019","GSW vs. PHI","L","38","14","27","0.519","10","18","0.556","3","4","0.75","1","3","4","6","1","0","6","1","41","-6","1"
"30","22018","201939","21800745","JAN 28, 2019","GSW @ IND","W","27","10","13","0.769","6","8","0.75","0","0","0.0","1","5","6","3","2","0","3","4","26","10","1"
"31","22018","201939","21800732","JAN 26, 2019","GSW @ BOS","W","38","7","15","0.467","6","12","0.5","4","4","1.0","0","3","3","3","0","0","1","2","24","4","1"
"32","22018","201939","21800716","JAN 24, 2019","GSW @ WAS","W","35","14","24","0.583","2","8","0.25","8","8","1.0","0","4","4","3","0","1","3","2","38","13","1"
"33","22018","201939","21800701","JAN 21, 2019","GSW @ LAL","W","30","3","12","0.25","2","10","0.2","3","3","1.0","1","4","5","12","1","0","0","3","11","27","1"
"34","22018","201939","21800676","JAN 18, 2019","GSW @ LAC","W","33","10","19","0.526","3","11","0.273","5","5","1.0","0","5","5","4","1","1","1","2","28","9","1"
"35","22018","201939","21800663","JAN 16, 2019","GSW vs. NOP","W","35","11","22","0.5","9","17","0.529","10","10","1.0","1","4","5","3","1","0","2","3","41","20","1"
"36","22018","201939","21800655","JAN 15, 2019","GSW @ DEN","W","30","10","18","0.556","8","13","0.615","3","3","1.0","1","5","6","4","0","0","3","2","31","25","1"
"37","22018","201939","21800642","JAN 13, 2019","GSW @ DAL","W","37","17","32","0.531","11","19","0.579","3","3","1.0","3","3","6","5","1","2","0","5","48","9","1"
"38","22018","201939","21800629","JAN 11, 2019","GSW vs. CHI","W","27","10","16","0.625","5","11","0.455","3","3","1.0","2","3","5","8","0","0","4","0","28","39","1"
"39","22018","201939","21800605","JAN 08, 2019","GSW vs. NYK","W","32","5","19","0.263","3","12","0.25","1","1","1.0","1","6","7","14","1","0","1","3","14","36","1"
"40","22018","201939","21800583","JAN 05, 2019","GSW @ SAC","W","38","14","26","0.538","10","20","0.5","4","4","1.0","0","5","5","2","2","0","6","2","42","12","1"
"41","22018","201939","21800565","JAN 03, 2019","GSW vs. HOU","L","40","14","27","0.519","5","15","0.333","2","3","0.667","0","3","3","6","0","0","5","4","35","3","1"
"42","22018","201939","21800548","DEC 31, 2018","GSW @ PHX","W","32","11","17","0.647","5","9","0.556","7","7","1.0","1","8","9","4","1","0","3","2","34","15","1"
"43","22018","201939","21800534","DEC 29, 2018","GSW @ POR","W","36","6","15","0.4","2","8","0.25","11","14","0.786","1","4","5","8","2","1","2","1","25","10","1"
"44","22018","201939","21800516","DEC 27, 2018","GSW vs. POR","L","42","11","26","0.423","6","15","0.4","1","3","0.333","1","4","5","7","2","2","7","1","29","-3","1"
"45","22018","201939","21800500","DEC 25, 2018","GSW vs. LAL","L","37","5","17","0.294","2","8","0.25","3","3","1.0","0","2","2","5","1","0","1","5","15","-9","1"
"46","22018","201939","21800494","DEC 23, 2018","GSW vs. LAC","W","36","12","22","0.545","6","15","0.4","12","13","0.923","3","3","6","2","1","0","0","4","42","8","1"
"47","22018","201939","21800484","DEC 22, 2018","GSW vs. DAL","W","39","7","22","0.318","6","17","0.353","2","3","0.667","2","3","5","5","2","0","3","5","22","-3","1"
"48","22018","201939","21800464","DEC 19, 2018","GSW @ UTA","L","37","12","21","0.571","5","9","0.556","3","3","1.0","1","2","3","3","3","1","4","4","32","-6","1"
"49","22018","201939","21800449","DEC 17, 2018","GSW vs. MEM","W","35","6","16","0.375","3","9","0.333","5","5","1.0","0","7","7","1","2","0","3","3","20","19","1"
"50","22018","201939","21800428","DEC 14, 2018","GSW @ SAC","W","36","11","23","0.478","5","14","0.357","8","8","1.0","1","6","7","6","3","0","1","2","35","18","1"
"51","22018","201939","21800415","DEC 12, 2018","GSW vs. TOR","L","33","3","12","0.25","2","8","0.25","2","2","1.0","1","2","3","3","1","0","4","1","10","-16","1"
"52","22018","201939","21800400","DEC 10, 2018","GSW vs. MIN","W","36","12","23","0.522","7","14","0.5","7","7","1.0","1","6","7","6","2","1","2","1","38","9","1"
"53","22018","201939","21800377","DEC 07, 2018","GSW @ MIL","W","36","7","17","0.412","4","9","0.444","2","2","1.0","0","4","4","8","1","0","3","3","20","9","1"
"54","22018","201939","21800355","DEC 05, 2018","GSW @ CLE","W","34","11","20","0.55","9","14","0.643","11","12","0.917","0","9","9","7","1","0","2","1","42","22","1"
"55","22018","201939","21800344","DEC 03, 2018","GSW @ ATL","W","29","10","17","0.588","6","10","0.6","4","4","1.0","0","3","3","2","1","1","3","4","30","22","1"
"56","22018","201939","21800331","DEC 01, 2018","GSW @ DET","L","36","10","21","0.476","3","9","0.333","4","4","1.0","0","5","5","3","2","0","7","4","27","-8","1"
"57","22018","201939","21800166","NOV 08, 2018","GSW vs. MIL","L","26","5","14","0.357","0","4","0.0","0","0","0.0","0","1","1","6","0","0","2","4","10","-26","1"
"58","22018","201939","21800147","NOV 05, 2018","GSW vs. MEM","W","32","6","17","0.353","3","6","0.5","4","4","1.0","2","3","5","7","1","1","5","1","19","26","1"
"59","22018","201939","21800124","NOV 02, 2018","GSW vs. MIN","W","35","11","24","0.458","4","12","0.333","2","2","1.0","1","8","9","7","0","2","4","3","28","6","1"
