"UBA EMC","project","","","",""
"","guiding questions","preamble","","","The study analyses various economic mitigation challenges in a broad range of scenarios, varying the carbon tax, technology assumption and start data of ambitious policies in a set of 300 scenarios."
"","","question","","1.0","How do the four crucial economic mitigation challenges - short- and long-term costs, energy price increase and total carbon value - increase with climate target stringency, i.e. lower temperature targets?"
"","","question","","2.0","How are the temperature-challenge trade-off curves for the four economic mitigation challenges shifted under different assumptions on technology availability and policy delay?"
"","results","preamble","","","The study analysis various trade-off curves, each with temperature on the horizontal and different economic challenges on the vertical axis."
"","","insight","","1.0","The trade-off curves for all four analyzed economic challenges (short- and long-term costs, energy price increase and total carbon value, i.e. aggregated payments in emission pricing schemes) are highly convex, with strongly increasing costs for lower targets, practically setting a lower limit to achievable targets. If the temparature axis of the trade-off curve is using maximum temperatures (instead of 2100 temperature), this is even more pronounced."
"","","insight","","2.0","Both, assuming a delay of stringent policies or assuming non-availability of crucial technologies (bioenergy and or CCS) shifts the curve to higher temperatures."
"","scenarios","preamble","","","A total of ~300 scenarios have been calculated, differentiated across three dimensions (the list of scenarios below only details the 8 scenarios included in the SR1.5 database):
Carbon tax: For each of the combination of policy timing and technology availability (see below),  a total of 10 carbon price scenarios is calculated: the 5,10,20,30,40,50,100,200,500 and 1000 $/t CO2 in 2020 with 5% p.a. exponential increase thereafter
Technology availability: 7 scenario assumptions are considered: i) ""Def"" default—full technology portfolio, (ii) ""NoCCS""—unavailability of CCS, (iii) ""NoBECCS""—unavailability of CCS in combination with bioenergy (BECCS), (iv) ""LimBio""—reduced bioenergy potential (100 EJ compared to 300 EJ in all other cases), (v) ""NucPO""—phase out of investments into nuclear energy, (vi)"" LimSW"" —penetration of solar and wind power limited to 20%, and (vii) ""LowEI""
Policy timing: we consider in total three scenario groups ""Frag2015"", ""Frag2020"" and ""Frag2030"" with delayed adoption of cooperative mitigation action with globally harmonized GHG pricing resulting in comprehensive emissions reductions, assuming that climate policies remain weak and fragmented until 2015, 2020 and 2030, respectively. In the time-steps before the start of cooperative action, world regions are assumed to follow a weak, fragmented climate policy regime based on a weak interpretation of the pledges or reduction proposals under the Cancun Agreements or Copenhagen Accord for 2020, and an extrapolation of the implied climate policy ambition beyond 2020 (WeakPol reference scenario, see SI section 6 (available at stacks.iop.org/ERL/8/034033/mmedia) and Luderer et al 2013). The ""WeakPol"" scenario yields similar global emissions by 2020 as the full implementation of the unconditional pledges under lenient accounting rules (UNEP 2012). In addition, we considered a (already at publication hypothetical) ""immediate"" scenario with global comprehensive emissions reductions effective and implemented from 2015 onwards. "
"","","scenario","name","1.0","Def_30$"
"","","scenario","description","1.0","Scenario with default (full) technology availability, and carbon tax starting at 30$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
"","","scenario","name","2.0","Def_100$"
"","","scenario","description","2.0","Scenario with default (full) technology availability, and carbon tax starting at 100$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
"","","scenario","name","3.0","LimSW_30$"
"","","scenario","description","3.0","Scenario with solar and wind power limited to 20%, and carbon tax starting at 30$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
"","","scenario","name","4.0","LimSW_100$"
"","","scenario","description","4.0","Scenario with solar and wind power limited to 20%, and carbon tax starting at 100$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
"","","scenario","name","5.0","NucPO_30$"
"","","scenario","description","5.0","Scenario with nuclear phase-out, and carbon tax starting at 30$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
