"0","21800023","1610612754","IND","Indiana","202711","Bojan Bogdanovic","F","","27:19","0","7","0.0","0","2","0.0","3","4","0.75","0","5","5","0","0","0","1","3","3","-11.0"
"1","21800023","1610612754","IND","Indiana","201152","Thaddeus Young","F","","26:56","3","5","0.6","0","0","0.0","1","2","0.5","0","1","1","0","1","0","2","4","7","-18.0"
"2","21800023","1610612754","IND","Indiana","1626167","Myles Turner","C","","27:23","5","12","0.417","0","4","0.0","1","1","1.0","2","2","4","0","0","1","2","2","11","-15.0"
"3","21800023","1610612754","IND","Indiana","203506","Victor Oladipo","G","","31:41","10","23","0.435","1","2","0.5","4","6","0.667","0","5","5","1","0","1","2","4","25","-24.0"
"4","21800023","1610612754","IND","Indiana","201954","Darren Collison","G","","26:48","4","6","0.667","0","0","0.0","2","2","1.0","0","2","2","3","1","0","3","0","10","-15.0"
"5","21800023","1610612754","IND","Indiana","201936","Tyreke Evans","","","22:38","4","10","0.4","1","2","0.5","1","2","0.5","1","4","5","4","2","1","3","3","10","-11.0"
"6","21800023","1610612754","IND","Indiana","1627734","Domantas Sabonis","","","22:10","4","6","0.667","0","0","0.0","4","4","1.0","6","7","13","2","1","0","3","3","12","-16.0"
"7","21800023","1610612754","IND","Indiana","202709","Cory Joseph","","","17:48","1","4","0.25","0","1","0.0","1","2","0.5","0","1","1","0","1","0","1","2","3","-10.0"
"8","21800023","1610612754","IND","Indiana","203926","Doug McDermott","","","20:21","5","8","0.625","4","6","0.667","0","0","0.0","0","0","0","1","1","0","0","2","14","7.0"
"9","21800023","1610612754","IND","Indiana","203124","Kyle O'Quinn","","","4:14","1","2","0.5","0","0","0.0","2","2","1.0","0","1","1","1","0","0","0","0","4","7.0"
"10","21800023","1610612754","IND","Indiana","1628988","Aaron Holiday","","","4:14","0","2","0.0","0","1","0.0","0","0","0.0","0","1","1","1","0","0","0","0","0","7.0"
"11","21800023","1610612754","IND","Indiana","1628993","Alize Johnson","","","4:14","1","2","0.5","0","0","0.0","0","0","0.0","0","3","3","0","0","0","0","1","2","7.0"
"12","21800023","1610612754","IND","Indiana","1628410","Edmond Sumner","","","4:14","0","0","0.0","0","0","0.0","0","2","0.0","0","0","0","1","0","0","0","1","0","7.0"
"13","21800023","1610612749","MIL","Milwaukee","203114","Khris Middleton","F","","30:34","7","15","0.467","5","9","0.556","4","6","0.667","1","3","4","4","1","0","3","2","23","24.0"
"14","21800023","1610612749","MIL","Milwaukee","203507","Giannis Antetokounmpo","F","","31:59","12","23","0.522","0","6","0.0","2","3","0.667","3","12","15","5","2","1","6","4","26","14.0"
"15","21800023","1610612749","MIL","Milwaukee","201572","Brook Lopez","C","","22:16","3","10","0.3","2","8","0.25","0","0","0.0","1","2","3","2","0","1","0","4","8","18.0"
"16","21800023","1610612749","MIL","Milwaukee","1627763","Malcolm Brogdon","G","","27:26","6","9","0.667","2","4","0.5","1","1","1.0","0","4","4","7","2","0","2","2","15","14.0"
"17","21800023","1610612749","MIL","Milwaukee","202339","Eric Bledsoe","G","","26:02","5","9","0.556","2","5","0.4","0","0","0.0","3","3","6","7","2","2","0","2","12","17.0"
"18","21800023","1610612749","MIL","Milwaukee","101141","Ersan Ilyasova","","","23:43","1","3","0.333","1","1","1.0","0","0","0.0","0","3","3","0","1","1","1","3","3","13.0"
"19","21800023","1610612749","MIL","Milwaukee","203089","John Henson","","","22:26","3","7","0.429","2","3","0.667","2","4","0.5","3","6","9","0","0","3","0","2","10","-5.0"
"20","21800023","1610612749","MIL","Milwaukee","1628978","Donte DiVincenzo","","","20:14","2","5","0.4","1","4","0.25","3","4","0.75","0","2","2","0","1","0","4","4","8","15.0"
"21","21800023","1610612749","MIL","Milwaukee","1626174","Christian Wood","","","5:48","0","1","0.0","0","0","0.0","1","2","0.5","0","1","1","0","0","0","1","1","1","-1.0"
"22","21800023","1610612749","MIL","Milwaukee","203503","Tony Snell","","","17:50","4","7","0.571","2","5","0.4","0","1","0.0","0","2","2","1","0","0","0","2","10","1.0"
"23","21800023","1610612749","MIL","Milwaukee","203521","Matthew Dellavedova","","","4:14","0","1","0.0","0","0","0.0","0","0","0.0","0","1","1","0","0","0","0","0","0","-7.0"
"24","21800023","1610612749","MIL","Milwaukee","1628425","Sterling Brown","","","3:44","1","1","1.0","0","0","0.0","0","0","0.0","0","0","0","0","0","0","0","0","2","-9.0"
"25","21800023","1610612749","MIL","Milwaukee","1626192","Pat Connaughton","","","3:44","0","2","0.0","0","1","0.0","0","0","0.0","0","0","0","1","0","0","0","0","0","-9.0"
