"0.0","Market Cap (intraday) 5","8.38B"
"1.0","Enterprise Value 3","8.55B"
"2.0","Trailing P/E ","39.91"
"3.0","Forward P/E 1","8.61"
"4.0","PEG Ratio (5 yr expected) 1","0.29"
"5.0","Price/Sales (ttm)","1.16"
"6.0","Price/Book (mrq)","1.02"
"7.0","Enterprise Value/Revenue 3","1.18"
"8.0","Enterprise Value/EBITDA 6",""
"","0","1"
"0.0","Fiscal Year Ends ","Dec 31, 2017"
"1.0","Most Recent Quarter (mrq)","Jun 30, 2018"
"","0","1"
"0.0","Profit Margin ","2.93%"
"1.0","Operating Margin (ttm)","1.50%"
"","0","1"
"0.0","Return on Assets (ttm)","0.29%"
"1.0","Return on Equity (ttm)","2.52%"
"","0","1"
"0.0","Revenue (ttm)","7.24B"
"1.0","Revenue Per Share (ttm)","178.55"
"2.0","Quarterly Revenue Growth (yoy)","23.50%"
"3.0","Gross Profit (ttm)","491.8M"
"4.0","EBITDA ",""
"5.0","Net Income Avi to Common (ttm)","209.84M"
"6.0","Diluted EPS (ttm)","5.14"
"7.0","Quarterly Earnings Growth (yoy)","-71.50%"
"","0","1"
"0.0","Total Cash (mrq)","912.68M"
"1.0","Total Cash Per Share (mrq)","22.34"
"2.0","Total Debt (mrq)","633.5M"
"3.0","Total Debt/Equity (mrq)","7.69"
"4.0","Current Ratio (mrq)","2.17"
"5.0","Book Value Per Share (mrq)","201.70"
"","0","1"
"0.0","Operating Cash Flow (ttm)","660.98M"
"1.0","Levered Free Cash Flow (ttm)","-582.64M"
"","0","1"
"0.0","Beta (3Y Monthly) ","0.10"
"1.0","52-Week Change 3","-13.20%"
"2.0","S&P500 52-Week Change 3","5.16%"
"3.0","52 Week High 3","264.88"
"4.0","52 Week Low 3","203.90"
"5.0","50-Day Moving Average 3","220.32"
"6.0","200-Day Moving Average 3","226.26"
"","0","1"
"0.0","Avg Vol (3 month) 3","281.64k"
"1.0","Avg Vol (10 day) 3","249.71k"
"2.0","Shares Outstanding 5","40.86M"
"3.0","Float ","30.5M"
"4.0","% Held by Insiders 1","25.34%"
"5.0","% Held by Institutions 1","98.62%"
"6.0","Shares Short (Sep 28, 2018) 4","1.04M"
"7.0","Short Ratio (Sep 28, 2018) 4","3.33"
"8.0","Short % of Float (Sep 28, 2018) 4","3.30%"
"9.0","Short % of Shares Outstanding (Sep 28, 2018) 4","2.54%"
"10.0","Shares Short (prior month Aug 31, 2018) 4","969.13k"
"","0","1"
"0.0","Forward Annual Dividend Rate 4","5.2"
"1.0","Forward Annual Dividend Yield 4","2.45%"
"2.0","Trailing Annual Dividend Rate 3","5.15"
"3.0","Trailing Annual Dividend Yield 3","2.48%"
"4.0","5 Year Average Dividend Yield 4","2.00"
"5.0","Payout Ratio 4","100.00%"
"6.0","Dividend Date 3","Sep 19, 2018"
"7.0","Ex-Dividend Date 4","Sep 4, 2018"
"8.0","Last Split Factor (new per old) 2",""
"9.0","Last Split Date 3",""
