"0","'expansion', 'emergency', 'reserve', 'fund', 'vaccine', 'pay', 'debt', 'emerge', 'political', 'flash', 'point', 'united', 'state'"
"1","'group', 'shareholder', 'set', 'showdown', 'martin', 'shkreli', 'say', 'continue', 'exert', 'influence', 'pharmaceutical', 'company', 'prison'"
"2","'economy', 'suffers', 'lack', 'competition', 'president', 'biden', 'want', 'change'"
"3","'shifting', 'political', 'crisis', 'assassination', 'president', 'jovenel', 'moïse', 'come', 'amid', 'backdrop', 'pandemic', 'whose', 'scale', 'country', 'essentially', 'unknown'"
"4","'spot', 'kid', 'glide', 'sidewalk', 'micro', 'maxi', 'deluxe', 'scooter', 'take', 'fellow', 'pedestrian', 'surprise', 'fast', 'hear', 'come', 'often', 'see', 'question', 'jog', 'behind', 'try', 'keep'"
"5","'night', 'warm', 'faster', 'day', 'across', 'potentially', 'deadly', 'consequence'"
"6","'sixteen', 'african', 'country', 'report', 'resurgence', 'infection', 'drive', 'delta', 'variant', 'lambda', 'variant', 'worth', 'watch', 'cause', 'alarm', 'yet'"
"7","'zaila', 'harvey', 'word', 'become', 'first', 'black', 'american', 'win', 'scripps', 'national', 'spell', 'bee', 'almost', 'year', 'contest'"
"8","'meatless', 'italian', 'hero', 'three', 'impressive', 'take', 'chicken', 'breast', 'several', 'dish'"
"9","'octopus', 'squid', 'full', 'cephalopod', 'character', 'scientist', 'make', 'case', 'cuttlefish', 'hold', 'key', 'unlock', 'evolutionary', 'secret', 'intelligence'"
"10","'margot', 'robbie', 'barbie', 'daniel', 'kaluuya', 'reimagining', 'barney', 'plot', 'base', 'uno', 'mattel', 'throe', 'financial', 'comeback', 'film', 'work'"
"11","'omar', 'degan', 'bear', 'italy', 'somali', 'parent', 'flee', 'african', 'nation', 'civil', 'war', 'help', 'rebuild', 'country', 'look', 'past', 'build', 'future'"
"12","'one', 'thing', 'reporter', 'eats', 'sardine', 'cottage', 'cheese', 'deadline', 'also', 'mario', 'kart'"
"13","'many', 'theater', 'get', 'boost', 'pandemic', 'scene', 'mahoning', 'rural', 'pennsylvania', 'something', 'else', 'entirely'"
"14","'pandemic', 'ebb', 'loop', 'nearby', 'neighborhood', 'roar', 'back', 'life', 'eight', 'great', 'spot', 'hit', 'weather', 'hot'"
