"12","92","966","2124","488","208","976","288","294","272","384","400","616","384","608","488","448","345","568","360","328","0"
"30","102","700","1608","472","353","247","384","1248","334","488","296","289","2057","609","440","513","446","456","1584","368","0"
"119","79","349","862","312","484","328","625","250","548","828","453","484","390","250","281","235","1078","172","500","250","0"
"124","66","474","1084","241","336","656","256","232","400","520","288","320","288","256","304","304","288","288","352","377","0"
"127","91","741","1667","484","686","562","562","780","359","343","874","577","640","499","593","1934","405","515","858","578","0"
"129","89","3178","6547","1181","630","700","560","370","3290","450","750","650","440","580","550","720","1320","391","710","730","0"
"130","91","741","1669","1513","1014","390","453","5413","858","374","2371","452","733","967","436","951","640","531","1357","483","0"
"133","93","5046","10300","584","1244","1382","752","671","512","452","1190","1760","410","1225","520","456","514","502","510","332","0"
"134","79","1243","2649","452","499","1435","936","2028","531","437","406","718","655","499","561","546","7348","499","562","1498","0"
"137","98","877","1956","546","609","499","842","624","1450","655","593","1310","1311","515","609","546","515","624","1716","390","0"
"138","85","7040","14287","640","280","390","920","6115","452","312","483","374","359","578","749","374","343","406","562","327","0"
"139","85","3731","7652","655","2090","1264","795","1903","499","390","5523","593","1108","702","889","1872","780","718","717","1123","0"
"140","91","734","1654","1139","561","593","1311","343","1248","730","921","608","577","437","530","1342","499","406","1498","905","0"
"147","96","570","1335","578","717","1357","671","733","1092","375","655","1186","577","437","390","562","1185","2855","811","952","0"
"148","97","766","1726","1139","687","578","499","3183","452","453","3650","1311","671","483","3494","483","562","1233","702","546","0"
"149","109","907","2038","484","483","592","873","515","1107","531","655","1966","469","468","1482","843","515","2246","1373","561","0"
"150","99","1938","4085","530","609","14835","453","1341","499","437","1359","468","390","530","609","468","406","390","656","748","0"
"152","93","3290","6762","780","873","609","593","967","2901","530","702","1919","609","717","1295","514","546","452","390","733","0"
"155","107","3340","6915","593","655","530","843","499","1326","702","5382","780","2512","483","514","2560","405","670","452","655","0"
"156","93","718","1626","562","655","405","515","842","530","390","406","1669","499","2294","436","406","639","390","530","765","0"
"164","97","1135","2474","921","873","1045","1139","1684","873","1451","1123","1653","1123","2153","1107","1451","858","1701","983","437","0"
"165","87","681","1540","374","468","686","483","811","890","515","1139","1732","2496","889","483","640","530","468","780","405","0"
"171","108","5843","11945","468","686","5710","562","748","546","562","968","889","624","531","514","671","1108","546","483","1279","0"
"173","104","755","1724","1077","655","561","671","765","499","796","640","780","593","452","764","655","594","514","624","733","0"
"181","101","1300","2813","1029","500","2403","483","468","1436","515","952","889","530","1232","484","904","484","468","655","1966","0"
"194","100","1241","2691","1763","546","593","499","717","717","1108","1295","422","593","1139","1155","780","546","3104","561","421","0"
"196","87","3930","8067","1435","1685","858","1139","2215","842","1233","16364","1856","2980","905","827","905","1138","999","811","483","0"
